"","id","eid","startX","startY","endX","endY","time","success","distance","angle","boxSize","w"
"205",3,2,349,886,831,979,683,TRUE,490.890008,"10.92079413",112,NA
"206",3,2,831,979,12,1164,667,TRUE,839.6344443,"167.2713499",112,NA
"207",3,2,12,1164,836,1379,983,TRUE,851.5873414,"14.62370453",112,NA
"208",3,2,836,1379,416,667,685,TRUE,826.6462363,"-120.5358292",112,130.034239419028
"209",3,2,416,667,902,1332,772,TRUE,823.6631593,"53.83965441",112,138.722216304379
"210",3,2,902,1332,647,495,1086,TRUE,874.9822855,"-106.9438553",112,117.082456367881
"211",3,3,430,550,617,799,450,TRUE,311.4000642,"53.09330353",100,125.060266757457
"212",3,3,617,799,830,564,384,TRUE,317.1655719,"-47.81137359",100,134.964073149839
"213",3,3,830,564,893,311,418,TRUE,260.7259097,"-76.01705492",100,103.053719257431
"214",3,3,893,311,664,499,431,TRUE,296.2853354,"140.6153497",100,NA
"215",3,3,664,499,865,286,325,TRUE,292.8651567,"-46.66028237",100,137.495378725248
"216",3,3,865,286,724,19,404,TRUE,301.9437034,"-117.8380812",100,113.087529349089
"217",3,3,724,19,324,258,1124,TRUE,465.9624448,"149.1416828",100,NA
"218",3,3,324,258,428,751,572,TRUE,503.8501761,"78.08791529",100,102.200847087964
"219",3,3,428,751,533,268,487,TRUE,494.2812964,"-77.73522627",100,102.335672138607
"220",3,3,533,268,40,271,511,TRUE,493.0091277,"179.6513484",100,NA
"221",3,3,40,271,563,213,469,TRUE,526.2062333,"-6.328167448",100,NA
"222",3,3,563,213,787,79,479,TRUE,261.0210719,"-30.88846646",50,NA
"223",3,3,787,79,908,382,491,FALSE,326.266762,"68.23120052",50,53.8393996735163
"224",3,3,787,79,912,354,0,FALSE,302.0761493,"65.55604522",50,54.9229362436117
"225",3,3,666,181,799,451,565,TRUE,300.9800658,"63.77548436",50,55.737049219462
"226",3,3,799,451,697,152,467,TRUE,315.9192935,"-108.8364142",50,52.8293132928484
"227",3,3,697,152,393,558,576,TRUE,507.2001577,"126.8247117",50,62.4630736119067
"228",3,3,393,558,883,437,1312,TRUE,504.7187336,"-13.87104706",50,NA
"229",3,3,883,437,456,168,605,TRUE,504.6682078,"-147.7900329",50,NA
"230",3,3,456,168,922,348,695,TRUE,499.5558027,"21.11985615",50,NA
"231",3,3,922,348,837,848,588,TRUE,507.1735403,"99.64804532",50,50.7173540319288
"232",3,4,430,550,490,243,683,TRUE,312.808248,"-78.94152074",100,101.891937450521
